Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:59,SM-G950F,10:5a:f7:08:27:71,Baruch_2.4,29.87122719,32.17094895,34.81367243,1,9.00201E-10,1.1769E-09,1.9398E-09,,10:5a:f7:08:27:71,Baruch_2.4,6,-90,32.17094895,34.81367243,29.87122719,01/12/2017 10:59
01/12/2017 10:49,Lenovo PB2-690Y,10:5a:f7:0f:d5:32,Zvi_2.4,51,32.17228106,34.81440381,1,0,0,0,,10:5a:f7:0f:d5:32,Zvi_2.4,11,-91,32.17228106,34.81440381,51,01/12/2017 10:49
01/12/2017 10:51,Lenovo PB2-690Y,10:be:f5:3f:b2:ce,bait,34.61511818,32.16976345,34.81087437,1,8.10601E-10,4.42299E-10,2.1153E-09,,10:be:f5:3f:b2:ce,bait,10,-92,32.16976345,34.81087437,34.61511818,01/12/2017 11:05
01/12/2017 10:56,Lenovo PB2-690Y,10:be:f5:40:26:82,Home,31,32.16916884,34.81065234,1,0,0,0,,10:be:f5:40:26:82,Home,10,-89,32.16916884,34.81065234,31,01/12/2017 10:56
01/12/2017 10:51,SM-G950F,10:fe:ed:74:fc:46,Alpha125,30.70296733,32.16940683,34.81074521,1,1.72381E-09,1.64869E-09,1.0637E-09,,10:fe:ed:74:fc:46,Alpha125,1,-90,32.16940683,34.81074521,30.70296734,01/12/2017 10:51
01/12/2017 11:07,SM-G950F,14:9d:09:80:00:9d,HUAWEI-009D,40.08129431,32.17225794,34.81441454,1,4.79901E-10,4.6623E-09,1.26749E-09,,14:9d:09:80:00:9d,HUAWEI-009D,4,-86,32.17225794,34.81441454,40.08129431,01/12/2017 11:07
01/12/2017 11:03,Lenovo PB2-690Y,14:9d:09:80:00:f1,HUAWEI-00F1,45,32.17223176,34.81443004,1,0,0,0,,14:9d:09:80:00:f1,HUAWEI-00F1,6,-85,32.17223176,34.81443004,45,01/12/2017 11:03
01/12/2017 11:04,Lenovo PB2-690Y,14:ae:db:32:d5:c2,GFCM,28.22454114,32.17075666,34.81134201,1,0,0,0,,14:ae:db:32:d5:c2,GFCM,4,-92,32.17075666,34.81134201,28.22454114,01/12/2017 11:04
01/12/2017 11:06,SM-G950F,14:ae:db:48:af:4d,InnovationEndeavors-guest,35.28990199,32.17005713,34.81237056,1,1.5634E-09,2.4745E-09,2.4256E-09,,14:ae:db:48:af:4d,InnovationEndeavors-guest,9,-91,32.17005713,34.81237056,35.28990199,01/12/2017 11:06
01/12/2017 10:46,Lenovo PB2-690Y,14:ae:db:58:73:75,love,32.95515228,32.17227145,34.81434256,1,3.1158E-09,3.0177E-09,4.92101E-10,,14:ae:db:58:73:75,love,1,-58,32.17227145,34.81434255,32.95515228,01/12/2017 11:01
01/12/2017 10:45,Lenovo PB2-690Y,14:ae:db:b2:5f:05,mazia,40,32.16977119,34.81225463,1,0,0,0,,14:ae:db:b2:5f:05,mazia,1,-87,32.16977119,34.81225463,40,01/12/2017 10:45
01/12/2017 10:44,Lenovo PB2-690Y,14:ae:db:b7:99:2d,Guymic,39,32.17058125,34.8112445,1,4.01372E-05,8.42329E-06,2.465825415,,14:ae:db:b7:99:2d,Guymic,6,-78,32.17054111,34.81123607,36.53417458,01/12/2017 10:50
01/12/2017 10:58,Lenovo PB2-690Y,14:ae:db:b7:ab:ad,44870715,33.69249758,32.17110149,34.81301364,1,1.884E-09,2.1348E-09,1.2506E-09,,14:ae:db:b7:ab:ad,44870715,6,-81,32.17110149,34.81301364,33.69249757,01/12/2017 10:58
01/12/2017 10:50,Lenovo PB2-690Y,14:ae:db:ba:1e:85,GuyHila,41,32.1724094,34.81316731,1,0,0,0,,14:ae:db:ba:1e:85,GuyHila,11,-76,32.1724094,34.81316731,41,01/12/2017 10:50
